CITATION,INSTRUMENT,Neutral Citation
"['[1994] 2 IR 160', '[2001] 3 IR 513', '[1997] 1 IR 1']","['European Convention', 'Sea Act', 'EU Directive', 'Irish Register of Fishing Boats', '1996 Act', 'Dumping at Sea Act 1996', '2001 Guidelines']",2021_IECA_273
"['[2017] IECA 293', '[2010] IEHC 152', '[2005] IESC 57', '[2005] 3 I.R. 270', '2017  19', '(1881) 15 I.L.T.R. 121', '[1998] 4 I.R. 504].', '[1940] Ir.', '(1916) 11 Cr.', '(1990) 91 Cr.', '[2017] IESC 50', '[2017] 3 I.R. 707', '[1992] 1 I.R. 210', '[2012] IESC 25', '[2018] 1 I.R. 505', '[2021] IECA 171', '[2017] IESC 14', '[2004] 2 I.R. 72', '[2019] IESC 4', '[2019] 1 I.R. 63']",[],2021_IECA_253
['[2021 No.'],"['European Arrest Warrant Act', 'Act of 2003', 'Criminal Justice (Theft and Fraud Offences) Act', 'Criminal Code', 'Code of Criminal Procedure']",2021_IEHC_670
"['[2019] IEHC 590', 'in 2005.', '[2012] IESC 35', '[2012] 2 IR 620', '[2017] IESC 83', '[2018] 2 IR 741', '[1988] 1 WLR 267', '[1990] 2 QB 495', '[2008] PNLR 37', '[2019] IECA 217', '[2020] IESC 71', '[2021] PNLR 9', '[2021] IECA 268', '(1888) 22 QBD 128', '[2008] EWCA Civ 863', '(1992) 175 CLR 514', '[2006] UKHL 22', '[2006] 2 AC 543', '[2021] EWCA Civ 786', '[2021] 3 WLR 343', '[1997] 1 WLR 1627', '[2004] IESC 105', '[2004] 4 IR 241', '[2010] IEHC 218']","['Statute of Limitations Act 1957', '1957 Act', 'Companies Act 1990', 'Latent Damage Act 1986']",2021_IECA_269
"['[2021] IEHC 112', '[2020] IEHC 199', '[2020] IEHC327 –']",[],2021_IEHC_627
"['[2021 No.', '[1993] 1 I.R. 157', '[2021] IEHC 78', '[1998] 1 W.L.R. 896', '[1901] A.C. 217', '[1995] CLC 1396', '[2021] IEHC 263', '[2005] 1 I.R. 274', '[2009] IESC 2', '[2010] IEHC 116', '[1936] I.R. 596', '[1955] I.R. 268', '[1918] AC 350', '[1981] I W.L.R. 314', '[2015] NZCA 13', '[2021] 2021] UKSC 1', '[2020] EWHC 2710 (Comm)', '[1917] 1 K.B. 458', '[1918] AC 185', '[1930] 2 K.B. 301', '[1953] 1 Q.B. 520', '(2021 WL 168422', '(2021 WL 1193370']","['COVID-19 and Business Interruption Supervisory Framework', 'Health Act', '2020 Regulations', 'Marine Insurance Act', '1906 Act']",2021_IEHC_608
[],"['Property Services Regulation Act 2011', '2011 Act', 'Property Services Regulation Authority', 'European Convention', 'Human Rights Act 2003']",2021_IECA_250
"['[2021 No.', '[2021] IEHC 316', '[2020] IESC 12', '[2016] ISEC 17', '(Case C-640/15)']","['European Arrest Warrant Act', 'Act of 2003', 'Criminal Damage Act', 'Criminal Justice (Theft and Fraud Offences) Act', 'European Convention', 'Framework Decision', 'European Council Framework Decision', '2003 Act']",2021_IEHC_632
"['[2002] IESC 62', '[2010] IESC 54', '[2021] IEHC 332', '[2008] IESC 61', '[2021] IEHC 577']","['Road Traffic Act 2010', 'Road Traffic Act', 'An Garda Síochána Act 2005']",2021_IEHC_673
['[2021] IEHC 469'],['Defamation Act'],2021_IEHC_624
[],"['International Protection Act 2015', '2015 Act']",2021_IEHC_604
"['[2019]\xa0IEHC\xa0328', '[2014]\xa0IEHC\xa0307', '[2014]\xa02\xa0I.R.\xa0277', '[2018]\xa0IESC\xa054', '[2019]\xa01\xa0I.L.R.M.\xa0118', '[2016]\xa0IESC\xa046', '[2016]\xa01\xa0I.R.\xa0656', '[2005]\xa0IEHC\xa0485', '[1980]\xa0I.L.R.M.\xa064', '[2019]\xa0IESC\xa04', '[2019]\xa01\xa0I.R.\xa063', '[2019]\xa02\xa0I.L.R.M.\xa0273', '20\xa002\xa001', '20\xa001\xa040', '(20\xa003\xa003', '20\xa001\xa038', '[2017]\xa0IESC\xa025', '[2018]\xa01\xa0I.R.\xa0189', '[2017]\xa02\xa0I.L.R.M. 297', '[2020]\xa0IESC\xa042', '[2016]\xa0IECA\xa092', '[1983] I.R. 319', '[2002] 1 I.L.R.M. 419', '[2021]\xa0IEHC\xa0450', '[2015]\xa0IEHC\xa0838']","['PLANNING AND DEVELOPMENT ACT 2000', 'Planning and Development Regulations 2001', 'Environmental Impact Assessment Directive', 'Waste Management Acts 1996\xa0–\xa02008', 'Planning and Development Act 2000', 'Waste Management Act 1996', 'Waste Management (Facility Permit and Registration) Regulations 2007', 'Waste Management (Permit) Regulations 1998', 'Waste Framework Directive', 'Directive 2008/98', 'Habitats Directive (Directive 92/43/EC', 'Regulations 2007', 'Permit Regulations', 'Habitats Directive', 'Local Government (Planning & Development) Act 1963', 'PDR 2001', 'Waste Management Act', '2000 Act', 'EIA Directive', 'Directive 2014/52', '(Directive 85/337', '2010 Act']",2021_IEHC_583
"['[2018] IECA 84', '[2018] IECA 274', '[2017] IECA  318', '[2019] IECA 150', '[2019] 355', '[ 2006] IECCA 28', '[2018] IECA 121']",['Road Traffic Act'],2021_IECA_319
"['[1968] IR 11', '[2008] 3 IR 387', '[2007] 2 IR 194', '[2012] IEHC 559', '[2017] IEHC 47', '[2016] IEHC 688', '[2019] IEHC 604', '[1907] 2 Ch 406', '[1997] 3 IR 431']","['Succession Act 1965', 'Legal Services Regulation Act 2015']",2021_IEHC_645
"['the Case 38', '[2006] 3 I.R. 238', '[2019] IESC 94']",[],2021_IECA_270
"['[2008] 3 I.R. 752', '[2014] IEHC 324', '[2020] IEHC 685', '[2018] IEHC 611', '[2001] AC 102']",['Land and Conveyancing Act'],2021_IEHC_852
"['[2018 No.', '80 Reliefs', '(1843) 3 Hare 100', '2016/126 SP)', '[2018] IECA 238', '[2020] IESC 1', '[2020] IESCDET 40', '[1997] 3 IR 43', '[1988] 373', '[1998] 1 WLR 896', '[2005] 1 IR 274', '[2012] 2 IR 327', '[2017] IESC 31', '[2021] IEHC 263', '[2019] IESC 2', '[2015] AC 1619', '[2011] 1 WLR 2900', '[2017] UKSC 24', '[2007] IEHC 271', '[1985] AC 191', '[2012] IESC 23', '[1997] AC 313', '[2012] 1 IR 449', '[2009] IESC 69', '[1996] 1 WLR 257:-', '[2003] 4 IR 302', '[2002] 2 AC 1', '[2007] IEHC 245']",[],2021_IEHC_628
"['[2018 No.', '593 J.R.] IN', '[2021] IEHC 203', '[1981] ILRM 439', '[1994] 3 IR 437', '[2021] IEHC 403', '[2013] IESC 61', '[2018] IEHC 473', '[2019] IEHC 890', '[2020] IEHC 177', '[2020] IEHC 322', '[2021] IEHC 281', '[2018] IESC 39', '[1995] 1 IR 191', '[2007] 2 ILRM 378', '[1984] IR 381', '[2020] IECA 19', '[2010] IEHC 454', '[2012] IEHC 309', '[2015] IEHC 248', '[2011] 1 IR 729', '[2017] IEHC 311', '[2017] IEHC 541', '[2019] IEHC 84', '[2020] IEHC 39', '[2020] IEHC 122', '[2010] 4 IR 113', '[2020] IEHC 356', '[2013] 1 IR 247', '[2001] 1 IR 190', '[2013] IESC 4', '(1880) 5 App.', '[1997] 1 IR 184', '[2010] 3 IR 302', '[2008] IEHC 371']","['PLANNING AND DEVELOPMENT ACT 2000', 'Planning and Development Act', '2000 Act', '2011 EIA Directive', '2014 EIA Directive', 'EIA Directive', '2016 Act', 'Local Government (Planning and Development) Act']",2021_IEHC_629
"['[1981] 73 Cr.', '9 25', '[2017] 3 I.R. 684', '[2005] 3 I.R. 134']","['Road Traffic Acts and Regulations.', 'Road Traffic Act 1961', 'Act of 1961', 'Road Traffic (No.', ') Act 2011']",2021_IECA_271
"['[2020 No.', '[2016] IECA 79', '819 S.E.2d 682', '(Case 30696/09', '(1999) 28 EHRR 209', '[2007] 3 I.R. 732', '[2012] IEHC 442', '[2011] IESC 48', '[2007] IESC 21']","['EXTRADITION ACT', 'Extradition Act', 'Act of 1965', 'Criminal Law (Sexual Offences) Act', 'Act of 2017', 'Child Trafficking and Pornography Act', 'Act of 1998', 'European Convention', 'ECHR', 'US Constitution', 'USA Constitution', 'Georgia Constitution', 'Florida Sexual Predators Act']",2021_IEHC_687
"['[2018 No.', '(Case C-34/09 Zambrano v. Office national de', '[2012] IESC 39', '[2012] 3 I.R. 222', '[2015] IESC 103', '[2015] 4 I.R. 535', '[2018] IEHC 134', '[2018] 2 JIC 2708', '[2021] IECA 5', '[2021] 1 JIC 1511']","['International Protection Act 2015', 'Immigration Act 1999']",2021_IEHC_613
"['[2017] IEHC 548', '[2017] IESC 18', '[2017] 2 IR 284', '[2003] IEHC 611', '[1984] I.R. 485']","['Health and Social Care Professionals Act 2005', 'Health and Social Care Professionals Council (the Council', 'Medical Practitioners Act 2007']",2021_IEHC_756
"['[2013] IEHC 256', '[2013] 1 I.R. 407', '[1963] N.I. 49', '[2014] 3 I.R. 468', '[1983] BCLC.', '[2014] IEHC 41', '[1980] 2 WLR 453', '[2020] IEHC 348', '[2018] 2 I.R. 741', '[2012] IESC 50', '[2005] 1 I.R. 274', '[2017] IESC 31', '[2009] 1 I.L.R.M. 190', '[2004] 3 I.R. 603', '[2020] IEHC 284']","['MATTER OF SPENCER DOCK DEVELOPMENT', 'COMPANIES ACT', 'Companies Act', '1963 Act', 'Irish Bank Resolution Corporation Act', '2013 Act', 'Waste Management Act', '1961 Act', 'Civil Liability Act', 'Statute of Limitations']",2021_IEHC_605
"['[2016 No.', '[2016] IECA 328', '[1984] I.R. 185', '[1967] I.R. 1', '[2020] IESC 56', '[2019] IESC 57', '[2003] 4 I.R. 264']","['Defamation Act', 'Solicitors Acts 1954', 'Sixth Schedule) Regulations']",2021_IEHC_625
"['[2017] IESC 20', '[1996] 1 IR 403', '[1994] 2 IR 34', '[1986] IR 642', '[1999] 2 IR 508', '[1996] 1 IR 189', '[2003] 4 IR 35', '[2004] IEHC 208']","['Defence Act 1954', 'Defence Forces Regulations']",2021_IEHC_672
"['[2021 No.', '[2017] IR 355', '[2016] 27 ELR 140', '[2019] IESC 65', '[2006] 17 ELR 137', '[2017] 1 IR 355', '[2019] IEHC 456', '[2013] 3 IR 417', '[1990] ILRM 419', '[2000] 4 IR 159', '(No.6)', '[2000] 4 IR 412']",['Education Act'],2021_IEHC_633
"['[2021 No.', '(1879-1916)', '[2021] IEHC 50', '[2021] 7 JIC 2802', '[2021] IEHC 230', '[2021] 4 JIC 1204', '[2021] IEHC 254', '[2021] 4 JIC 2003', '[2021] IEHC 424', '[2021] 7 JIC 0201', '[2021] IEHC 312', '[2021] 5 JIC 1002', '[2020] IEHC 122', '[2020] 3 JIC 0502', '[2011] 1 I.R. 79', '[2021] IEHC 322', '[2021] 5 JIC 1403', '[2021] IEHC 265', '[2021] 5 JIC 2704', '[2021] IEHC 390', '[2021] 6 JIC 1601', '[2021] IEHC 610']","['Planning and Development Act 2000', 'EIA directive 2011/92', '2000 Act', 'Habitats Directive', 'EIA Directive', 'Directive 92/43/EEC']",2021_IEHC_648
"['[2012] IEHC 401', '[2013] 1 IR 393', '[1996] IR 459', '[2017] IECA 66', '[2005] 40 EHRR 40']","['Irish Bank Resolution Corporation Act', 'European Convention', 'ECHR']",2021_IECA_251
"['6187 S] IN', '[2009 No.', '[2010] 3 I.R. 1', '[2002] IEHC 14', '[2003] 4 I.R. 1', '[2017] IESC 16', '[2017] 3 JIC 0901', '[2004] IEHC 129', '[2004] 7 JIC 2102', '[2015] IESC 103', '[2015] 4 IR 535']",[],2021_IEHC_598
"['[2016] IECA 93', '[1983] I.R. 141', '[2001] IESC 85', '[2016] IECA 56', '[1992] I.R. 210', '[2012] IESC 25', '[2018] 1 I.R. 505', '[1984] ILRM 523', '[2005] 4 IR 461', '[2020] IECA 242', '[2020] IECA 296', '[2004] 3 I.R. 12']",['Judicial Council Act 2019'],2021_IECA_247
"['[2020 No.', '[2021] IEHC 230', '[2021] IEHC 362', '[2006] IEHC 102', '[2007] 4 I.R. 112', '[2006] IEHC 250', '[2006] 7 JIC 1302', '[2015] IEHC 387', '[2015] 6 JIC 1805', '[2016] IEHC 646', '[2020] IEHC 4', '[2020] 1 JIC 1404', '[2021] IESCDET 109', '[2016] 11 JIC 1404', '[2019] IESC 4', '[2021] IEHC 459', '[2021] IEHC 254']","['PLANNING AND DEVELOPMENT ACT 2000', 'Planning and Development Act 2000', '2000 Act', 'EIA directive 2011/92']",2021_IEHC_593
"['[2014 No.', '[2020] IEHC 108', '[1996] 2 I.R. 459', '[2017] IECA 178', '[2002] 3 I.R. 510', '[1999] IESC 54']",[],2021_IEHC_602
"['[2012] IEHC 382', '[2019] IEHC 43', '[1994] 1 IR 101', '[2017] IESC 76', '[1953] 1 Q.B. 380', '[1951] A.C. 161', '[1970] I.R. 317', '[2000] 1 I.R. 309', '[2019] IESC 50', '[1998] 2 IR 162', '[2006] EWCA CIV 29', '[2005] 3 IR 617', '[2014] 1 IR 770', '[1972] IR 190', '[2001/168 COS]', '[1996] 1 IR 468', '[2008] AC 581', '[2017] 2 WLR 1200', '[2015] 1 ILRM 191', '[2014] IEHC 465', '(1999) 2 A.C. 349', '[1982] IR 241', '[1974] 1 WLR 1648', '[2004] EWCA Civ.']","['Companies Acts', 'Investor Compensation Act', '1998 Act', 'Companies Act', '1963 Act', '2015 Regulations', 'Directive 97/9/EC', ') Regulations 2015', 'Directive 93(22', 'Directive 94/19/EC', 'Community Directive', 'Directive 93/22/EEC', 'Bankruptcy Act', 'Investor Compensation Directive', 'Act of 1998', 'Investor Compensation Act 1998', 'Client Property) Regulations 2015', 'Financial Instruments) Regulations 2007', 'Act of 1995', 'MIFID Regulations', 'Investment Intermediaries Act 1995', 'Investment Intermediaries Act', 'MiFID Regulations', 'ICCL on Regulations 15', 'European Commission of National Investor Compensation Schemes', 'EU Investor Compensation Scheme Directive', 'Regulations 7,8', '407/2015 – Investor Compensation Act 1998', 'Estimated Recovery and Future Distributions', 'Interpretation Act', '2005 Act', 'Council Directive', 'Directive', '2005 Interpretation Act', 'Directive, 1998 Act', 'Directive.', '1999 Act']",2021_IEHC_842
