Neutral Citation,Judge,Court,Link,Judge ID
2021_IEHC_737,McDonald J.,High Court,https://en.wikipedia.org//wiki/Denis_McDonald,9843
2021_IEHC_739,O'Moore J.,High Court,https://en.wikipedia.org//wiki/Brian_O%27Moore,37106
2021_IEHC_741,Ferriter J.,High Court,https://en.wikipedia.org//wiki/Cian_Ferriter,39428
2021_IEHC_743,Ferriter J.,High Court,https://en.wikipedia.org//wiki/Cian_Ferriter,39428
2021_IEHC_744,Humphreys J.,High Court,https://en.wikipedia.org//wiki/Richard_Humphreys_(judge),3783
2021_IEHC_746,Allen J.,Court of Appeal,https://en.wikipedia.org/wiki/Senan_Allen,6010
2021_IEHC_749,O'Moore J.,High Court,https://en.wikipedia.org//wiki/Brian_O%27Moore,37106
2021_IEHC_750,Egan J.,High Court,https://en.wikipedia.org//wiki/Emily_Egan,31435
2021_IEHC_751,Simons J.,High Court,https://en.wikipedia.org//wiki/Garrett_Simons,25571
2021_IEHC_752,Simons J.,High Court,https://en.wikipedia.org//wiki/Garrett_Simons,25571
2021_IEHC_753,Simons J.,High Court,https://en.wikipedia.org//wiki/Garrett_Simons,25571
2021_IEHC_755,Ferriter J.,High Court,https://en.wikipedia.org//wiki/Cian_Ferriter,39428
2021_IEHC_759,O'Regan J.,High Court,https://en.wikipedia.org//wiki/Miriam_O%27Regan,10314
2021_IEHC_761,Egan J.,High Court,https://en.wikipedia.org//wiki/Emily_Egan,31435
2021_IEHC_763,Stack J.,High Court,https://en.wikipedia.org//wiki/Siobh%C3%A1n_Stack,46033
2021_IEHC_764,Barrett J.,High Court,https://en.wikipedia.org//wiki/Max_Barrett_(judge),59347
2021_IEHC_765,O'Regan J.,High Court,https://en.wikipedia.org//wiki/Miriam_O%27Regan,10314
2021_IEHC_766,Barrett J.,High Court,https://en.wikipedia.org//wiki/Max_Barrett_(judge),59347
2021_IEHC_768,Allen J.,Court of Appeal,https://en.wikipedia.org/wiki/Senan_Allen,6010
2021_IEHC_769,Ferriter J.,High Court,https://en.wikipedia.org//wiki/Cian_Ferriter,39428
2021_IEHC_770,Burns J.,High Court,https://en.wikipedia.org//wiki/Tara_Burns,28461
2021_IEHC_771,Humphreys J.,High Court,https://en.wikipedia.org//wiki/Richard_Humphreys_(judge),3783
2021_IEHC_772,Stack J.,High Court,https://en.wikipedia.org//wiki/Siobh%C3%A1n_Stack,46033
2021_IEHC_773,Woulfe J.,Supreme Court,https://en.wikipedia.org//wiki/S%C3%A9amus_Woulfe,59252
2021_IEHC_774,Ferriter J.,High Court,https://en.wikipedia.org//wiki/Cian_Ferriter,39428
2021_IEHC_776,Ferriter J.,High Court,https://en.wikipedia.org//wiki/Cian_Ferriter,39428
2021_IEHC_777,Hyland J.,High Court,https://en.wikipedia.org//wiki/Niamh_Hyland,5564
2021_IEHC_778,Hyland J.,High Court,https://en.wikipedia.org//wiki/Niamh_Hyland,5564
2021_IEHC_780,Stack J.,High Court,https://en.wikipedia.org//wiki/Siobh%C3%A1n_Stack,46033
2021_IEHC_781,Ferriter J.,High Court,https://en.wikipedia.org//wiki/Cian_Ferriter,39428
2021_IEHC_782,Barr J.,High Court,https://en.wikipedia.org//wiki/Anthony_Barr_(judge),28678
2021_IEHC_785,Barrett J.,High Court,https://en.wikipedia.org//wiki/Max_Barrett_(judge),59347
2021_IEHC_786,Holland J.,High Court,https://en.wikipedia.org//wiki/David_Holland_(judge),27542
2021_IEHC_787,Ferriter J.,High Court,https://en.wikipedia.org//wiki/Cian_Ferriter,39428
2021_IEHC_788,Sanfey J.,High Court,https://en.wikipedia.org//wiki/Mark_Sanfey,46967
2021_IEHC_789,Burns J.,High Court,https://en.wikipedia.org//wiki/Tara_Burns,28461
2021_IEHC_790,Sanfey J.,High Court,https://en.wikipedia.org//wiki/Mark_Sanfey,46967
2021_IEHC_791,Sanfey J.,High Court,https://en.wikipedia.org//wiki/Mark_Sanfey,46967
2021_IEHC_792,Sanfey J.,High Court,https://en.wikipedia.org//wiki/Mark_Sanfey,46967
2021_IEHC_793,Reynolds J.,High Court,https://en.wikipedia.org//wiki/Leonie_Reynolds,12622
2021_IEHC_794,Heslin J.,High Court,https://en.wikipedia.org//wiki/Mark_Heslin,3178
2021_IEHC_797,Ferriter J.,High Court,https://en.wikipedia.org//wiki/Cian_Ferriter,39428
2021_IEHC_798,"O'Connor, Tony J.",High Court,https://en.wikipedia.org//wiki/Tony_O%27Connor_(judge),55629
2021_IEHC_799,O'Regan J.,High Court,https://en.wikipedia.org//wiki/Miriam_O%27Regan,10314
2021_IEHC_800,O'Regan J.,High Court,https://en.wikipedia.org//wiki/Miriam_O%27Regan,10314
2021_IEHC_802,Barrett J.,High Court,https://en.wikipedia.org//wiki/Max_Barrett_(judge),59347
2021_IEHC_806,Ferriter J.,High Court,https://en.wikipedia.org//wiki/Cian_Ferriter,39428
2021_IEHC_808,Barr J.,High Court,https://en.wikipedia.org//wiki/Anthony_Barr_(judge),28678
2021_IEHC_809,Barr J.,High Court,https://en.wikipedia.org//wiki/Anthony_Barr_(judge),28678
2021_IEHC_810,Butler J.,High Court,https://en.wikipedia.org//wiki/Nuala_Butler,61569
2021_IEHC_812,Barr J.,High Court,https://en.wikipedia.org//wiki/Anthony_Barr_(judge),28678
2021_IEHC_815,O'Moore J.,High Court,https://en.wikipedia.org//wiki/Brian_O%27Moore,37106
2021_IEHC_818,Meenan J.,High Court,https://en.wikipedia.org//wiki/Charles_Meenan,4695
2021_IEHC_820,Meenan J.,High Court,https://en.wikipedia.org//wiki/Charles_Meenan,4695
2021_IEHC_821,Meenan J.,High Court,https://en.wikipedia.org//wiki/Charles_Meenan,4695
2021_IEHC_824,O'Regan J.,High Court,https://en.wikipedia.org//wiki/Miriam_O%27Regan,10314
2021_IEHC_827,"Burns, Paul J.",High Court,https://en.wikipedia.org//wiki/Paul_Burns_(judge),7210
2021_IEHC_830,"Burns, Paul J.",High Court,https://en.wikipedia.org//wiki/Paul_Burns_(judge),7210
2021_IEHC_831,"Burns, Paul J.",High Court,https://en.wikipedia.org//wiki/Paul_Burns_(judge),7210
2021_IEHC_837,Biggs J.,High Court,https://en.wikipedia.org//wiki/Caroline_Biggs,6915
2021_IEHC_838,Biggs J.,High Court,https://en.wikipedia.org//wiki/Caroline_Biggs,6915
2021_IEHC_839,Biggs J.,High Court,https://en.wikipedia.org//wiki/Caroline_Biggs,6915
2021_IEHC_841,Barr J.,High Court,https://en.wikipedia.org//wiki/Anthony_Barr_(judge),28678
2021_IEHC_845,Gearty J.,High Court,https://en.wikipedia.org//wiki/Mary_Rose_Gearty,16317
2021_IEHC_846,"Burns, Paul J.",High Court,https://en.wikipedia.org//wiki/Paul_Burns_(judge),7210
2021_IEHC_847,"Burns, Paul J.",High Court,https://en.wikipedia.org//wiki/Paul_Burns_(judge),7210
2021_IEHC_850,Egan J.,High Court,https://en.wikipedia.org//wiki/Emily_Egan,31435
2021_IESC_77,O'Donnell C.J.,Supreme Court,https://en.wikipedia.org/wiki/Donal_O%27Donnell,1552
2021_IESC_77,Charleton J.,Supreme Court,https://en.wikipedia.org//wiki/Peter_Charleton,60366
2021_IESC_77,O'Malley J.,Supreme Court,https://en.wikipedia.org//wiki/Iseult_O%27Malley,7730
2021_IESC_77,Woulfe J.,Supreme Court,https://en.wikipedia.org//wiki/S%C3%A9amus_Woulfe,59252
2021_IESC_77,Hogan J.,Supreme Court,https://en.wikipedia.org//wiki/Gerard_Hogan,7394
2021_IESC_78,O'Donnell C.J.,Supreme Court,https://en.wikipedia.org/wiki/Donal_O%27Donnell,1552
2021_IESC_78,Mac Menamin J.,Supreme Court,https://en.wikipedia.org//wiki/John_MacMenamin,57964
2021_IESC_78,Dunne J.,Supreme Court,https://en.wikipedia.org//wiki/Elizabeth_Dunne,26176
2021_IESC_78,Charleton J.,Supreme Court,https://en.wikipedia.org//wiki/Peter_Charleton,60366
2021_IESC_78,O'Malley J.,Supreme Court,https://en.wikipedia.org//wiki/Iseult_O%27Malley,7730
2021_IESC_79,Dunne J.,Supreme Court,https://en.wikipedia.org//wiki/Elizabeth_Dunne,26176
2021_IESC_79,Charleton J.,Supreme Court,https://en.wikipedia.org//wiki/Peter_Charleton,60366
2021_IESC_79,O'Malley J.,Supreme Court,https://en.wikipedia.org//wiki/Iseult_O%27Malley,7730
2021_IESC_79,Woulfe J.,Supreme Court,https://en.wikipedia.org//wiki/S%C3%A9amus_Woulfe,59252
2021_IESC_79,Hogan J.,Supreme Court,https://en.wikipedia.org//wiki/Gerard_Hogan,7394
2021_IESC_80,Dunne J.,Supreme Court,https://en.wikipedia.org//wiki/Elizabeth_Dunne,26176
2021_IESC_80,Charleton J.,Supreme Court,https://en.wikipedia.org//wiki/Peter_Charleton,60366
2021_IESC_80,Baker J.,Supreme Court,https://en.wikipedia.org//wiki/Marie_Baker,59697
2021_IESC_80,Woulfe J.,Supreme Court,https://en.wikipedia.org//wiki/S%C3%A9amus_Woulfe,59252
