Neutral Citation,Instrument,Statue,Year,Detail,Instrument Link,Instrument ID,Statue ID
2020_IEHC_517,Criminal Justice (Theft and Fraud Offences) Act,Criminal Justice Act,,Theft and Fraud Offences,,63009,64073
2020_IEHC_517,European Arrest Warrant Act 2003,European Arrest Warrant Act,2003,,,15140,984
2020_IEHC_519,European Arrest Warrant Act 2003,European Arrest Warrant Act,2003,,,15140,984
2020_IEHC_526,Immigration Act 1999,Immigration Act,1999,,,62928,38538
2020_IEHC_528,Criminal Justice (Miscellaneous Provisions) Act 2009,Criminal Justice Act,2009,Miscellaneous Provisions,https://www.irishstatutebook.ie/2009/en/si/0293.html?q=Criminal+Justice+Miscellaneous+Provisions+Act&years=2009,49055,64073
2020_IEHC_528,Criminal Law (Amendment) Act 1935,Criminal Law Act,1935,Amendment,https://www.irishstatutebook.ie/1935/en/act/pub/0006/index.html?q=Criminal+Law+Amendment+Act&years=1935,14372,29070
2020_IEHC_528,Criminal Law (Extraterritorial Jurisdiction) Act,Criminal Law Act,,Extraterritorial Jurisdiction,,53454,29070
2020_IEHC_528,European Arrest Warrant Act 2003,European Arrest Warrant Act,2003,,,15140,984
2020_IEHC_528,Interpretation Act 2005,Interpretation Act,2005,,https://www.irishstatutebook.ie/2005/en/act/pub/0023/index.html?q=Interpretation+Act&years=2005,63146,15307
2020_IEHC_528,Offences Against the Person Act 1861,Offences Against the Person Act,1861,,https://www.irishstatutebook.ie/1861/en/act/pub/0100/index.html?q=Offences+Against+the+Person+Act&years=1861,21359,48491
2020_IEHC_531,Criminal Justice (Theft and Fraud Offences) Act,Criminal Justice Act,,Theft and Fraud Offences,,63009,64073
2020_IEHC_531,European Arrest Warrant Act 2003,European Arrest Warrant Act,2003,,,15140,984
2020_IEHC_532,Criminal Justice (Public Order) Act,Criminal Justice Act,,Public Order,,47692,64073
2020_IEHC_532,Criminal Justice (Theft and Fraud Offences) Act,Criminal Justice Act,,Theft and Fraud Offences,,63009,64073
2020_IEHC_532,European Arrest Warrant Act 2003,European Arrest Warrant Act,2003,,,15140,984
2020_IEHC_561,Criminal Justice (United Nations Convention Against Torture) Act,Criminal Justice Act,,United Nations Convention Against Torture,,47639,64073
2020_IEHC_561,Immigration Act 1999,Immigration Act,1999,,,62928,38538
2020_IEHC_569,European Arrest Warrant Act 2003,European Arrest Warrant Act,2003,,,15140,984
2020_IEHC_571,Human Rights Act 2003,Human Rights Act,2003,,https://www.irishstatutebook.ie/2003/en/si/0483.html?q=Human+Rights+Act&years=2003,29332,57385
2020_IEHC_571,International Protection Act 2015,International Protection Act,2015,,https://www.irishstatutebook.ie/2015/en/act/pub/0066/index.html?q=International+Protection+Act&years=2015,28527,20390
2020_IEHC_573,Criminal Justice Act,Criminal Justice Act,,,,22099,64073
2020_IEHC_573,Criminal Procedure (Scotland) Act,Criminal Procedure Act,,Scotland,,20181,20498
2020_IEHC_573,European Arrest Warrant Act 2003,European Arrest Warrant Act,2003,,,15140,984
2020_IEHC_582,European Arrest Warrant Act,European Arrest Warrant Act,,,,7740,984
2020_IEHC_582,Road Traffic Act,Road Traffic Act,,,,26920,26943
2020_IEHC_588,Illegal Immigrants (Trafficking) Act 2000,Illegal Immigrants Act,2000,Trafficking,,10483,35527
2020_IEHC_588,Immigration Act 1999,Immigration Act,1999,,,62928,38538
2020_IEHC_598,Criminal Justice (Theft and Fraud Offences) Act,Criminal Justice Act,,Theft and Fraud Offences,,63009,64073
2020_IEHC_598,European Arrest Warrant Act,European Arrest Warrant Act,,,,7740,984
2020_IEHC_598,Road Traffic Act,Road Traffic Act,,,,26920,26943
2020_IEHC_606,Criminal Justice (Offences Relating to Information Systems) Act 2017,Criminal Justice Act,2017,Offences Relating to Information Systems,,63750,64073
2020_IEHC_606,Criminal Justice (Public Order) Act,Criminal Justice Act,,Public Order,,47692,64073
2020_IEHC_606,Criminal Justice (Theft and Fraud Offences) Act,Criminal Justice Act,,Theft and Fraud Offences,,63009,64073
2020_IEHC_606,European Arrest Warrant Act 2003,European Arrest Warrant Act,2003,,,15140,984
2020_IEHC_607,Criminal Justice and Public Order Act,Criminal Justice and Public Order Act,,,,47634,34369
2020_IEHC_607,ECHR Act 2006,ECHR Act,2006,,,23960,49762
2020_IEHC_607,European Arrest Warrant Act 2003,European Arrest Warrant Act,2003,,,15140,984
2020_IEHC_607,Road Traffic Act 2010,Road Traffic Act,2010,,https://www.irishstatutebook.ie/2010/en/si/0011.html?q=Road+Traffic+Act&years=2010,4056,26943
2020_IEHC_648,European Union (Withdrawal) Act 2018,European Union Act,2018,Withdrawal,,35180,417
2020_IEHC_649,Immigration Act 1999,Immigration Act,1999,,,62928,38538
2020_IEHC_657,European Arrest Warrant Act,European Arrest Warrant Act,,,,7740,984
2020_IEHC_657,European Union (Consequential Provisions) Act,European Union Act,,Consequential Provisions,,2864,417
2020_IEHC_680,Criminal Damage Act,Criminal Damage Act,,,,21300,48846
2020_IEHC_680,Criminal Justice (Theft and Fraud Offences) Act,Criminal Justice Act,,Theft and Fraud Offences,,63009,64073
2020_IEHC_680,European Arrest Warrant Act 2003,European Arrest Warrant Act,2003,,,15140,984
2020_IEHC_682,European Arrest Warrant Act 2003,European Arrest Warrant Act,2003,,,15140,984
2020_IEHC_690,European Arrest Warrant Act,European Arrest Warrant Act,,,,7740,984
2020_IEHC_690,Extradition Act 1965,Extradition Act,1965,,https://www.irishstatutebook.ie/1965/en/si/0161.html?q=Extradition+Act&years=1965,24348,44883
2020_IEHC_690,Firearms Act,Firearms Act,,,,49826,36136
2020_IEHC_690,Misuse of Drugs Act,Misuse of Drugs Act,,,,37795,18580
2020_IEHC_692,Criminal Justice (Theft and Fraud Offences) Act,Criminal Justice Act,,Theft and Fraud Offences,,63009,64073
2020_IEHC_692,European Arrest Warrant Act,European Arrest Warrant Act,,,,7740,984
2020_IEHC_694,European Arrest Warrant Act,European Arrest Warrant Act,,,,7740,984
2020_IEHC_695,Criminal Justice (Theft and Fraud Offences) Act,Criminal Justice Act,,Theft and Fraud Offences,,63009,64073
2020_IEHC_695,European Arrest Warrant Act,European Arrest Warrant Act,,,,7740,984
2020_IEHC_699,European Arrest Warrant Act,European Arrest Warrant Act,,,,7740,984
2020_IEHC_699,Road Traffic Act,Road Traffic Act,,,,26920,26943
2020_IESC_30,Adoption Act 1952,Adoption Act,1952,,https://www.irishstatutebook.ie/1952/en/si/0380.html?q=Adoption+Act&years=1952,39742,41483
2020_IESC_30,Civil Liability Act 1961,Civil Liability Act,1961,,,1428,50064
2020_IESC_30,European Communities Act 1972,European Communities Act,1972,,https://www.irishstatutebook.ie/1972/en/act/pub/0027/index.html?q=European+Communities+Act&years=1972,17210,15152
2020_IESC_30,Family Law (Divorce) Act 1996,Family Law Act,1996,Divorce,,26696,40334
2020_IESC_30,Family Law (Maintenance of Spouses and Children) Act 1976,Family Law Act,1976,Maintenance of Spouses and Children,,51960,40334
